model_id,seq_len,accuracy_A,accuracy_B,accuracy_avg_pair,num_pairs_evaluated,num_seqs_requested,best_of_k
Qwen/Qwen3-0.6B,2,0.520000,0.450000,0.485000,100,100,1
Qwen/Qwen3-1.7B,2,0.530000,0.430000,0.480000,100,100,1
Qwen/Qwen3-4B,2,0.620000,0.640000,0.630000,100,100,1
Qwen/Qwen3-8B,2,0.770000,0.700000,0.735000,100,100,1
Qwen/Qwen3-14B,2,0.960000,0.930000,0.945000,100,100,1
Qwen/Qwen3-0.6B,3,0.530000,0.530000,0.530000,100,100,1
Qwen/Qwen3-1.7B,3,0.510000,0.520000,0.515000,100,100,1
Qwen/Qwen3-4B,3,0.730000,0.660000,0.695000,100,100,1
Qwen/Qwen3-8B,3,0.620000,0.670000,0.645000,100,100,1
Qwen/Qwen3-14B,3,0.800000,0.810000,0.805000,100,100,1
Qwen/Qwen3-0.6B,4,0.470000,0.470000,0.470000,100,100,1
Qwen/Qwen3-1.7B,4,0.480000,0.480000,0.480000,100,100,1
Qwen/Qwen3-4B,4,0.600000,0.730000,0.665000,100,100,1
Qwen/Qwen3-8B,4,0.670000,0.590000,0.630000,100,100,1
Qwen/Qwen3-14B,4,0.650000,0.700000,0.675000,100,100,1
Qwen/Qwen3-0.6B,5,0.550000,0.500000,0.525000,100,100,1
Qwen/Qwen3-1.7B,5,0.580000,0.550000,0.565000,100,100,1
Qwen/Qwen3-4B,5,0.620000,0.560000,0.590000,100,100,1
Qwen/Qwen3-8B,5,0.480000,0.470000,0.475000,100,100,1
Qwen/Qwen3-14B,5,0.720000,0.720000,0.720000,100,100,1
Qwen/Qwen3-0.6B,6,0.490000,0.500000,0.495000,100,100,1
Qwen/Qwen3-1.7B,6,0.560000,0.540000,0.550000,100,100,1
Qwen/Qwen3-4B,6,0.480000,0.480000,0.480000,100,100,1
Qwen/Qwen3-8B,6,0.520000,0.480000,0.500000,100,100,1
Qwen/Qwen3-14B,6,0.730000,0.680000,0.705000,100,100,1
Qwen/Qwen3-0.6B,7,0.540000,0.530000,0.535000,100,100,1
Qwen/Qwen3-1.7B,7,0.530000,0.510000,0.520000,100,100,1
Qwen/Qwen3-4B,7,0.400000,0.430000,0.415000,100,100,1
Qwen/Qwen3-8B,7,0.570000,0.570000,0.570000,100,100,1
Qwen/Qwen3-14B,7,0.650000,0.760000,0.705000,100,100,1
Qwen/Qwen3-0.6B,8,0.510000,0.510000,0.510000,100,100,1
Qwen/Qwen3-1.7B,8,0.510000,0.500000,0.505000,100,100,1
Qwen/Qwen3-4B,8,0.510000,0.510000,0.510000,100,100,1
Qwen/Qwen3-8B,8,0.490000,0.530000,0.510000,100,100,1
Qwen/Qwen3-14B,8,0.600000,0.570000,0.585000,100,100,1
Qwen/Qwen3-0.6B,9,0.490000,0.500000,0.495000,100,100,1
Qwen/Qwen3-1.7B,9,0.570000,0.540000,0.555000,100,100,1
Qwen/Qwen3-4B,9,0.500000,0.560000,0.530000,100,100,1
Qwen/Qwen3-8B,9,0.550000,0.510000,0.530000,100,100,1
Qwen/Qwen3-14B,9,0.650000,0.650000,0.650000,100,100,1
Qwen/Qwen3-0.6B,10,0.500000,0.460000,0.480000,100,100,1
Qwen/Qwen3-1.7B,10,0.520000,0.580000,0.550000,100,100,1
Qwen/Qwen3-4B,10,0.450000,0.480000,0.465000,100,100,1
Qwen/Qwen3-8B,10,0.500000,0.460000,0.480000,100,100,1
Qwen/Qwen3-14B,10,0.680000,0.660000,0.670000,100,100,1
Qwen/Qwen3-0.6B,11,0.590000,0.590000,0.590000,100,100,1
Qwen/Qwen3-1.7B,11,0.460000,0.410000,0.435000,100,100,1
Qwen/Qwen3-4B,11,0.520000,0.560000,0.540000,100,100,1
Qwen/Qwen3-8B,11,0.490000,0.480000,0.485000,100,100,1
Qwen/Qwen3-14B,11,0.590000,0.590000,0.590000,100,100,1
Qwen/Qwen3-0.6B,12,0.420000,0.420000,0.420000,100,100,1
Qwen/Qwen3-1.7B,12,0.490000,0.480000,0.485000,100,100,1
Qwen/Qwen3-4B,12,0.530000,0.550000,0.540000,100,100,1
Qwen/Qwen3-8B,12,0.480000,0.440000,0.460000,100,100,1
Qwen/Qwen3-14B,12,0.590000,0.610000,0.600000,100,100,1
Qwen/Qwen3-0.6B,13,0.450000,0.480000,0.465000,100,100,1
Qwen/Qwen3-1.7B,13,0.470000,0.470000,0.470000,100,100,1
Qwen/Qwen3-4B,13,0.460000,0.430000,0.445000,100,100,1
Qwen/Qwen3-8B,13,0.440000,0.440000,0.440000,100,100,1
Qwen/Qwen3-14B,13,0.520000,0.590000,0.555000,100,100,1
Qwen/Qwen3-0.6B,14,0.510000,0.540000,0.525000,100,100,1
Qwen/Qwen3-1.7B,14,0.450000,0.460000,0.455000,100,100,1
Qwen/Qwen3-4B,14,0.500000,0.510000,0.505000,100,100,1
Qwen/Qwen3-8B,14,0.490000,0.490000,0.490000,100,100,1
Qwen/Qwen3-14B,14,0.520000,0.550000,0.535000,100,100,1
Qwen/Qwen3-0.6B,15,0.490000,0.470000,0.480000,100,100,1
Qwen/Qwen3-1.7B,15,0.500000,0.530000,0.515000,100,100,1
Qwen/Qwen3-4B,15,0.450000,0.450000,0.450000,100,100,1
Qwen/Qwen3-8B,15,0.510000,0.520000,0.515000,100,100,1
Qwen/Qwen3-14B,15,0.500000,0.480000,0.490000,100,100,1
Qwen/Qwen3-0.6B,16,0.540000,0.560000,0.550000,100,100,1
Qwen/Qwen3-1.7B,16,0.500000,0.490000,0.495000,100,100,1
Qwen/Qwen3-4B,16,0.400000,0.390000,0.395000,100,100,1
Qwen/Qwen3-8B,16,0.460000,0.430000,0.445000,100,100,1
Qwen/Qwen3-14B,16,0.560000,0.580000,0.570000,100,100,1
