model_id,seq_len,accuracy_A,accuracy_B,accuracy_avg_pair,num_pairs_evaluated,num_seqs_requested,best_of_k
Qwen/Qwen3-0.6B,2,0.500000,0.510000,0.505000,100,100,1
Qwen/Qwen3-1.7B,2,0.570000,0.510000,0.540000,100,100,1
Qwen/Qwen3-4B,2,0.640000,0.670000,0.655000,100,100,1
Qwen/Qwen3-8B,2,0.800000,0.940000,0.870000,100,100,1
Qwen/Qwen3-14B,2,0.500000,0.540000,0.520000,100,100,1
Qwen/Qwen3-0.6B,3,0.110000,0.140000,0.125000,100,100,1
Qwen/Qwen3-1.7B,3,0.290000,0.480000,0.385000,100,100,1
Qwen/Qwen3-4B,3,0.560000,0.580000,0.570000,100,100,1
Qwen/Qwen3-8B,3,0.490000,0.520000,0.505000,100,100,1
Qwen/Qwen3-14B,3,0.490000,0.520000,0.505000,100,100,1
Qwen/Qwen3-0.6B,4,0.110000,0.050000,0.080000,100,100,1
Qwen/Qwen3-1.7B,4,0.160000,0.110000,0.135000,100,100,1
Qwen/Qwen3-4B,4,0.440000,0.360000,0.400000,100,100,1
Qwen/Qwen3-8B,4,0.390000,0.340000,0.365000,100,100,1
Qwen/Qwen3-14B,4,0.500000,0.490000,0.495000,100,100,1
Qwen/Qwen3-0.6B,5,0.050000,0.080000,0.065000,100,100,1
Qwen/Qwen3-1.7B,5,0.030000,0.090000,0.060000,100,100,1
Qwen/Qwen3-4B,5,0.250000,0.270000,0.260000,100,100,1
Qwen/Qwen3-8B,5,0.180000,0.170000,0.175000,100,100,1
Qwen/Qwen3-14B,5,0.500000,0.510000,0.505000,100,100,1
Qwen/Qwen3-0.6B,6,0.080000,0.040000,0.060000,100,100,1
Qwen/Qwen3-1.7B,6,0.060000,0.040000,0.050000,100,100,1
Qwen/Qwen3-4B,6,0.110000,0.130000,0.120000,100,100,1
Qwen/Qwen3-8B,6,0.150000,0.100000,0.125000,100,100,1
Qwen/Qwen3-14B,6,0.380000,0.430000,0.405000,100,100,1
Qwen/Qwen3-0.6B,7,0.070000,0.060000,0.065000,100,100,1
Qwen/Qwen3-1.7B,7,0.070000,0.090000,0.080000,100,100,1
Qwen/Qwen3-4B,7,0.080000,0.090000,0.085000,100,100,1
Qwen/Qwen3-8B,7,0.100000,0.080000,0.090000,100,100,1
Qwen/Qwen3-14B,7,0.330000,0.360000,0.345000,100,100,1
Qwen/Qwen3-0.6B,8,0.060000,0.040000,0.050000,100,100,1
Qwen/Qwen3-1.7B,8,0.090000,0.060000,0.075000,100,100,1
Qwen/Qwen3-4B,8,0.110000,0.060000,0.085000,100,100,1
Qwen/Qwen3-8B,8,0.070000,0.080000,0.075000,100,100,1
Qwen/Qwen3-14B,8,0.220000,0.230000,0.225000,100,100,1
Qwen/Qwen3-0.6B,9,0.030000,0.010000,0.020000,100,100,1
Qwen/Qwen3-1.7B,9,0.110000,0.100000,0.105000,100,100,1
Qwen/Qwen3-4B,9,0.050000,0.110000,0.080000,100,100,1
Qwen/Qwen3-8B,9,0.060000,0.080000,0.070000,100,100,1
Qwen/Qwen3-14B,9,0.140000,0.170000,0.155000,100,100,1
Qwen/Qwen3-0.6B,10,0.060000,0.040000,0.050000,100,100,1
Qwen/Qwen3-1.7B,10,0.050000,0.130000,0.090000,100,100,1
Qwen/Qwen3-4B,10,0.070000,0.060000,0.065000,100,100,1
Qwen/Qwen3-8B,10,0.080000,0.110000,0.095000,100,100,1
Qwen/Qwen3-14B,10,0.130000,0.100000,0.115000,100,100,1
Qwen/Qwen3-0.6B,11,0.050000,0.040000,0.045000,100,100,1
Qwen/Qwen3-1.7B,11,0.100000,0.070000,0.085000,100,100,1
Qwen/Qwen3-4B,11,0.020000,0.080000,0.050000,100,100,1
Qwen/Qwen3-8B,11,0.040000,0.070000,0.055000,100,100,1
Qwen/Qwen3-14B,11,0.100000,0.120000,0.110000,100,100,1
Qwen/Qwen3-0.6B,12,0.030000,0.030000,0.030000,100,100,1
Qwen/Qwen3-1.7B,12,0.070000,0.030000,0.050000,100,100,1
Qwen/Qwen3-4B,12,0.070000,0.020000,0.045000,100,100,1
Qwen/Qwen3-8B,12,0.070000,0.050000,0.060000,100,100,1
Qwen/Qwen3-14B,12,0.120000,0.110000,0.115000,100,100,1
Qwen/Qwen3-0.6B,13,0.020000,0.050000,0.035000,100,100,1
Qwen/Qwen3-1.7B,13,0.020000,0.010000,0.015000,100,100,1
Qwen/Qwen3-4B,13,0.060000,0.050000,0.055000,100,100,1
Qwen/Qwen3-8B,13,0.050000,0.010000,0.030000,100,100,1
Qwen/Qwen3-14B,13,0.120000,0.090000,0.105000,100,100,1
Qwen/Qwen3-0.6B,14,0.060000,0.030000,0.045000,100,100,1
Qwen/Qwen3-1.7B,14,0.030000,0.060000,0.045000,100,100,1
Qwen/Qwen3-4B,14,0.040000,0.070000,0.055000,100,100,1
Qwen/Qwen3-8B,14,0.090000,0.090000,0.090000,100,100,1
Qwen/Qwen3-14B,14,0.080000,0.100000,0.090000,100,100,1
Qwen/Qwen3-0.6B,15,0.050000,0.040000,0.045000,100,100,1
Qwen/Qwen3-1.7B,15,0.020000,0.040000,0.030000,100,100,1
Qwen/Qwen3-4B,15,0.060000,0.040000,0.050000,100,100,1
Qwen/Qwen3-8B,15,0.040000,0.070000,0.055000,100,100,1
Qwen/Qwen3-14B,15,0.060000,0.070000,0.065000,100,100,1
Qwen/Qwen3-0.6B,16,0.040000,0.000000,0.020000,100,100,1
Qwen/Qwen3-1.7B,16,0.070000,0.040000,0.055000,100,100,1
Qwen/Qwen3-4B,16,0.030000,0.060000,0.045000,100,100,1
Qwen/Qwen3-8B,16,0.080000,0.070000,0.075000,100,100,1
Qwen/Qwen3-14B,16,0.100000,0.130000,0.115000,100,100,1
