model_id,seq_len,accuracy,num_evaluated,num_requested,best_of_k
Qwen/Qwen2.5-0.5B,2,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,2,1.000000,100,100,1
Qwen/Qwen2.5-3B,2,1.000000,100,100,1
Qwen/Qwen2.5-7B,2,0.910000,100,100,1
Qwen/Qwen2.5-14B,2,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,3,0.380000,100,100,1
Qwen/Qwen2.5-1.5B,3,1.000000,100,100,1
Qwen/Qwen2.5-3B,3,1.000000,100,100,1
Qwen/Qwen2.5-7B,3,1.000000,100,100,1
Qwen/Qwen2.5-14B,3,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,4,0.110000,100,100,1
Qwen/Qwen2.5-1.5B,4,1.000000,100,100,1
Qwen/Qwen2.5-3B,4,1.000000,100,100,1
Qwen/Qwen2.5-7B,4,1.000000,100,100,1
Qwen/Qwen2.5-14B,4,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,5,0.720000,100,100,1
Qwen/Qwen2.5-1.5B,5,0.960000,100,100,1
Qwen/Qwen2.5-3B,5,1.000000,100,100,1
Qwen/Qwen2.5-7B,5,1.000000,100,100,1
Qwen/Qwen2.5-14B,5,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,6,0.380000,100,100,1
Qwen/Qwen2.5-1.5B,6,0.960000,100,100,1
Qwen/Qwen2.5-3B,6,1.000000,100,100,1
Qwen/Qwen2.5-7B,6,0.880000,100,100,1
Qwen/Qwen2.5-14B,6,0.860000,100,100,1
Qwen/Qwen2.5-0.5B,7,0.210000,100,100,1
Qwen/Qwen2.5-1.5B,7,1.000000,100,100,1
Qwen/Qwen2.5-3B,7,1.000000,100,100,1
Qwen/Qwen2.5-7B,7,0.860000,100,100,1
Qwen/Qwen2.5-14B,7,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,8,0.210000,100,100,1
Qwen/Qwen2.5-1.5B,8,0.800000,100,100,1
Qwen/Qwen2.5-3B,8,1.000000,100,100,1
Qwen/Qwen2.5-7B,8,1.000000,100,100,1
Qwen/Qwen2.5-14B,8,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,9,0.260000,100,100,1
Qwen/Qwen2.5-1.5B,9,1.000000,100,100,1
Qwen/Qwen2.5-3B,9,1.000000,100,100,1
Qwen/Qwen2.5-7B,9,1.000000,100,100,1
Qwen/Qwen2.5-14B,9,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,10,0.680000,100,100,1
Qwen/Qwen2.5-1.5B,10,0.270000,100,100,1
Qwen/Qwen2.5-3B,10,1.000000,100,100,1
Qwen/Qwen2.5-7B,10,1.000000,100,100,1
Qwen/Qwen2.5-14B,10,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,11,1.000000,100,100,1
Qwen/Qwen2.5-1.5B,11,0.830000,100,100,1
Qwen/Qwen2.5-3B,11,1.000000,100,100,1
Qwen/Qwen2.5-7B,11,0.890000,100,100,1
Qwen/Qwen2.5-14B,11,0.650000,100,100,1
Qwen/Qwen2.5-0.5B,12,0.460000,100,100,1
Qwen/Qwen2.5-1.5B,12,1.000000,100,100,1
Qwen/Qwen2.5-3B,12,1.000000,100,100,1
Qwen/Qwen2.5-7B,12,1.000000,100,100,1
Qwen/Qwen2.5-14B,12,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,13,0.210000,100,100,1
Qwen/Qwen2.5-1.5B,13,0.830000,100,100,1
Qwen/Qwen2.5-3B,13,0.880000,100,100,1
Qwen/Qwen2.5-7B,13,1.000000,100,100,1
Qwen/Qwen2.5-14B,13,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,14,0.210000,100,100,1
Qwen/Qwen2.5-1.5B,14,0.920000,100,100,1
Qwen/Qwen2.5-3B,14,1.000000,100,100,1
Qwen/Qwen2.5-7B,14,1.000000,100,100,1
Qwen/Qwen2.5-14B,14,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,15,0.110000,100,100,1
Qwen/Qwen2.5-1.5B,15,1.000000,100,100,1
Qwen/Qwen2.5-3B,15,1.000000,100,100,1
Qwen/Qwen2.5-7B,15,1.000000,100,100,1
Qwen/Qwen2.5-14B,15,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,16,0.110000,100,100,1
Qwen/Qwen2.5-1.5B,16,1.000000,100,100,1
Qwen/Qwen2.5-3B,16,1.000000,100,100,1
Qwen/Qwen2.5-7B,16,1.000000,100,100,1
Qwen/Qwen2.5-14B,16,1.000000,100,100,1
