model_id,seq_len,accuracy,num_evaluated,num_requested,best_of_k
Qwen/Qwen2.5-0.5B,2,0.890000,100,100,1
Qwen/Qwen2.5-1.5B,2,1.000000,100,100,1
Qwen/Qwen2.5-3B,2,1.000000,100,100,1
Qwen/Qwen2.5-7B,2,1.000000,100,100,1
Qwen/Qwen2.5-14B,2,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,3,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,3,1.000000,100,100,1
Qwen/Qwen2.5-3B,3,1.000000,100,100,1
Qwen/Qwen2.5-7B,3,1.000000,100,100,1
Qwen/Qwen2.5-14B,3,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,4,0.170000,100,100,1
Qwen/Qwen2.5-1.5B,4,1.000000,100,100,1
Qwen/Qwen2.5-3B,4,1.000000,100,100,1
Qwen/Qwen2.5-7B,4,1.000000,100,100,1
Qwen/Qwen2.5-14B,4,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,5,0.100000,100,100,1
Qwen/Qwen2.5-1.5B,5,0.940000,100,100,1
Qwen/Qwen2.5-3B,5,0.640000,100,100,1
Qwen/Qwen2.5-7B,5,1.000000,100,100,1
Qwen/Qwen2.5-14B,5,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,6,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,6,0.520000,100,100,1
Qwen/Qwen2.5-3B,6,0.390000,100,100,1
Qwen/Qwen2.5-7B,6,0.750000,100,100,1
Qwen/Qwen2.5-14B,6,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,7,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,7,0.210000,100,100,1
Qwen/Qwen2.5-3B,7,0.130000,100,100,1
Qwen/Qwen2.5-7B,7,1.000000,100,100,1
Qwen/Qwen2.5-14B,7,0.820000,100,100,1
Qwen/Qwen2.5-0.5B,8,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,8,0.500000,100,100,1
Qwen/Qwen2.5-3B,8,0.440000,100,100,1
Qwen/Qwen2.5-7B,8,0.730000,100,100,1
Qwen/Qwen2.5-14B,8,0.720000,100,100,1
Qwen/Qwen2.5-0.5B,9,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,9,0.000000,100,100,1
Qwen/Qwen2.5-3B,9,0.100000,100,100,1
Qwen/Qwen2.5-7B,9,0.440000,100,100,1
Qwen/Qwen2.5-14B,9,0.780000,100,100,1
Qwen/Qwen2.5-0.5B,10,0.110000,100,100,1
Qwen/Qwen2.5-1.5B,10,0.320000,100,100,1
Qwen/Qwen2.5-3B,10,0.550000,100,100,1
Qwen/Qwen2.5-7B,10,1.000000,100,100,1
Qwen/Qwen2.5-14B,10,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,11,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,11,0.000000,100,100,1
Qwen/Qwen2.5-3B,11,0.160000,100,100,1
Qwen/Qwen2.5-7B,11,0.590000,100,100,1
Qwen/Qwen2.5-14B,11,0.370000,100,100,1
Qwen/Qwen2.5-0.5B,12,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,12,0.000000,100,100,1
Qwen/Qwen2.5-3B,12,0.780000,100,100,1
Qwen/Qwen2.5-7B,12,0.310000,100,100,1
Qwen/Qwen2.5-14B,12,0.460000,100,100,1
Qwen/Qwen2.5-0.5B,13,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,13,0.000000,100,100,1
Qwen/Qwen2.5-3B,13,0.000000,100,100,1
Qwen/Qwen2.5-7B,13,0.080000,100,100,1
Qwen/Qwen2.5-14B,13,0.000000,100,100,1
Qwen/Qwen2.5-0.5B,14,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,14,0.000000,100,100,1
Qwen/Qwen2.5-3B,14,0.130000,100,100,1
Qwen/Qwen2.5-7B,14,0.140000,100,100,1
Qwen/Qwen2.5-14B,14,0.000000,100,100,1
Qwen/Qwen2.5-0.5B,15,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,15,0.000000,100,100,1
Qwen/Qwen2.5-3B,15,0.160000,100,100,1
Qwen/Qwen2.5-7B,15,0.260000,100,100,1
Qwen/Qwen2.5-14B,15,0.670000,100,100,1
Qwen/Qwen2.5-0.5B,16,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,16,0.000000,100,100,1
Qwen/Qwen2.5-3B,16,0.390000,100,100,1
Qwen/Qwen2.5-7B,16,0.550000,100,100,1
Qwen/Qwen2.5-14B,16,0.340000,100,100,1
