model_id,seq_len,accuracy,num_evaluated,num_requested,best_of_k
Qwen/Qwen3-0.6B,2,1.000000,100,100,1
Qwen/Qwen3-1.7B,2,1.000000,100,100,1
Qwen/Qwen3-4B,2,0.790000,100,100,1
Qwen/Qwen3-8B,2,1.000000,100,100,1
Qwen/Qwen3-14B,2,1.000000,100,100,1
Qwen/Qwen3-0.6B,3,1.000000,100,100,1
Qwen/Qwen3-1.7B,3,1.000000,100,100,1
Qwen/Qwen3-4B,3,1.000000,100,100,1
Qwen/Qwen3-8B,3,1.000000,100,100,1
Qwen/Qwen3-14B,3,1.000000,100,100,1
Qwen/Qwen3-0.6B,4,0.510000,100,100,1
Qwen/Qwen3-1.7B,4,1.000000,100,100,1
Qwen/Qwen3-4B,4,1.000000,100,100,1
Qwen/Qwen3-8B,4,1.000000,100,100,1
Qwen/Qwen3-14B,4,1.000000,100,100,1
Qwen/Qwen3-0.6B,5,0.250000,100,100,1
Qwen/Qwen3-1.7B,5,0.170000,100,100,1
Qwen/Qwen3-4B,5,0.870000,100,100,1
Qwen/Qwen3-8B,5,0.750000,100,100,1
Qwen/Qwen3-14B,5,1.000000,100,100,1
Qwen/Qwen3-0.6B,6,0.170000,100,100,1
Qwen/Qwen3-1.7B,6,0.000000,100,100,1
Qwen/Qwen3-4B,6,0.580000,100,100,1
Qwen/Qwen3-8B,6,0.630000,100,100,1
Qwen/Qwen3-14B,6,1.000000,100,100,1
Qwen/Qwen3-0.6B,7,0.110000,100,100,1
Qwen/Qwen3-1.7B,7,0.000000,100,100,1
Qwen/Qwen3-4B,7,0.560000,100,100,1
Qwen/Qwen3-8B,7,0.860000,100,100,1
Qwen/Qwen3-14B,7,0.870000,100,100,1
Qwen/Qwen3-0.6B,8,0.500000,100,100,1
Qwen/Qwen3-1.7B,8,0.300000,100,100,1
Qwen/Qwen3-4B,8,0.190000,100,100,1
Qwen/Qwen3-8B,8,0.880000,100,100,1
Qwen/Qwen3-14B,8,0.770000,100,100,1
Qwen/Qwen3-0.6B,9,0.000000,100,100,1
Qwen/Qwen3-1.7B,9,0.000000,100,100,1
Qwen/Qwen3-4B,9,0.810000,100,100,1
Qwen/Qwen3-8B,9,0.580000,100,100,1
Qwen/Qwen3-14B,9,1.000000,100,100,1
Qwen/Qwen3-0.6B,10,0.340000,100,100,1
Qwen/Qwen3-1.7B,10,0.040000,100,100,1
Qwen/Qwen3-4B,10,0.450000,100,100,1
Qwen/Qwen3-8B,10,0.100000,100,100,1
Qwen/Qwen3-14B,10,0.670000,100,100,1
Qwen/Qwen3-0.6B,11,0.110000,100,100,1
Qwen/Qwen3-1.7B,11,0.060000,100,100,1
Qwen/Qwen3-4B,11,0.160000,100,100,1
Qwen/Qwen3-8B,11,0.000000,100,100,1
Qwen/Qwen3-14B,11,0.790000,100,100,1
Qwen/Qwen3-0.6B,12,0.080000,100,100,1
Qwen/Qwen3-1.7B,12,0.220000,100,100,1
Qwen/Qwen3-4B,12,0.240000,100,100,1
Qwen/Qwen3-8B,12,0.770000,100,100,1
Qwen/Qwen3-14B,12,1.000000,100,100,1
Qwen/Qwen3-0.6B,13,0.000000,100,100,1
Qwen/Qwen3-1.7B,13,0.000000,100,100,1
Qwen/Qwen3-4B,13,0.000000,100,100,1
Qwen/Qwen3-8B,13,0.110000,100,100,1
Qwen/Qwen3-14B,13,0.000000,100,100,1
Qwen/Qwen3-0.6B,14,0.000000,100,100,1
Qwen/Qwen3-1.7B,14,0.170000,100,100,1
Qwen/Qwen3-4B,14,0.120000,100,100,1
Qwen/Qwen3-8B,14,0.000000,100,100,1
Qwen/Qwen3-14B,14,0.000000,100,100,1
Qwen/Qwen3-0.6B,15,0.000000,100,100,1
Qwen/Qwen3-1.7B,15,0.170000,100,100,1
Qwen/Qwen3-4B,15,0.090000,100,100,1
Qwen/Qwen3-8B,15,0.110000,100,100,1
Qwen/Qwen3-14B,15,0.180000,100,100,1
Qwen/Qwen3-0.6B,16,0.000000,100,100,1
Qwen/Qwen3-1.7B,16,0.170000,100,100,1
Qwen/Qwen3-4B,16,0.310000,100,100,1
Qwen/Qwen3-8B,16,0.290000,100,100,1
Qwen/Qwen3-14B,16,0.000000,100,100,1
