model_id,seq_len,accuracy,num_evaluated,num_requested,best_of_k
Qwen/Qwen2.5-0.5B,2,0.880000,100,100,1
Qwen/Qwen2.5-1.5B,2,1.000000,100,100,1
Qwen/Qwen2.5-3B,2,1.000000,100,100,1
Qwen/Qwen2.5-7B,2,1.000000,100,100,1
Qwen/Qwen2.5-14B,2,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,3,0.340000,100,100,1
Qwen/Qwen2.5-1.5B,3,0.980000,100,100,1
Qwen/Qwen2.5-3B,3,0.930000,100,100,1
Qwen/Qwen2.5-7B,3,1.000000,100,100,1
Qwen/Qwen2.5-14B,3,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,4,0.030000,100,100,1
Qwen/Qwen2.5-1.5B,4,0.880000,100,100,1
Qwen/Qwen2.5-3B,4,0.840000,100,100,1
Qwen/Qwen2.5-7B,4,0.890000,100,100,1
Qwen/Qwen2.5-14B,4,1.000000,100,100,1
Qwen/Qwen2.5-0.5B,5,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,5,0.680000,100,100,1
Qwen/Qwen2.5-3B,5,0.640000,100,100,1
Qwen/Qwen2.5-7B,5,0.820000,100,100,1
Qwen/Qwen2.5-14B,5,0.950000,100,100,1
Qwen/Qwen2.5-0.5B,6,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,6,0.210000,100,100,1
Qwen/Qwen2.5-3B,6,0.360000,100,100,1
Qwen/Qwen2.5-7B,6,0.700000,100,100,1
Qwen/Qwen2.5-14B,6,0.880000,100,100,1
Qwen/Qwen2.5-0.5B,7,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,7,0.050000,100,100,1
Qwen/Qwen2.5-3B,7,0.270000,100,100,1
Qwen/Qwen2.5-7B,7,0.520000,100,100,1
Qwen/Qwen2.5-14B,7,0.890000,100,100,1
Qwen/Qwen2.5-0.5B,8,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,8,0.020000,100,100,1
Qwen/Qwen2.5-3B,8,0.080000,100,100,1
Qwen/Qwen2.5-7B,8,0.230000,100,100,1
Qwen/Qwen2.5-14B,8,0.810000,100,100,1
Qwen/Qwen2.5-0.5B,9,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,9,0.010000,100,100,1
Qwen/Qwen2.5-3B,9,0.020000,100,100,1
Qwen/Qwen2.5-7B,9,0.170000,100,100,1
Qwen/Qwen2.5-14B,9,0.570000,100,100,1
Qwen/Qwen2.5-0.5B,10,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,10,0.000000,100,100,1
Qwen/Qwen2.5-3B,10,0.000000,100,100,1
Qwen/Qwen2.5-7B,10,0.120000,100,100,1
Qwen/Qwen2.5-14B,10,0.420000,100,100,1
Qwen/Qwen2.5-0.5B,11,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,11,0.000000,100,100,1
Qwen/Qwen2.5-3B,11,0.000000,100,100,1
Qwen/Qwen2.5-7B,11,0.080000,100,100,1
Qwen/Qwen2.5-14B,11,0.250000,100,100,1
Qwen/Qwen2.5-0.5B,12,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,12,0.000000,100,100,1
Qwen/Qwen2.5-3B,12,0.000000,100,100,1
Qwen/Qwen2.5-7B,12,0.090000,100,100,1
Qwen/Qwen2.5-14B,12,0.150000,100,100,1
Qwen/Qwen2.5-0.5B,13,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,13,0.000000,100,100,1
Qwen/Qwen2.5-3B,13,0.000000,100,100,1
Qwen/Qwen2.5-7B,13,0.060000,100,100,1
Qwen/Qwen2.5-14B,13,0.120000,100,100,1
Qwen/Qwen2.5-0.5B,14,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,14,0.000000,100,100,1
Qwen/Qwen2.5-3B,14,0.000000,100,100,1
Qwen/Qwen2.5-7B,14,0.060000,100,100,1
Qwen/Qwen2.5-14B,14,0.080000,100,100,1
Qwen/Qwen2.5-0.5B,15,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,15,0.000000,100,100,1
Qwen/Qwen2.5-3B,15,0.000000,100,100,1
Qwen/Qwen2.5-7B,15,0.020000,100,100,1
Qwen/Qwen2.5-14B,15,0.090000,100,100,1
Qwen/Qwen2.5-0.5B,16,0.000000,100,100,1
Qwen/Qwen2.5-1.5B,16,0.000000,100,100,1
Qwen/Qwen2.5-3B,16,0.000000,100,100,1
Qwen/Qwen2.5-7B,16,0.040000,100,100,1
Qwen/Qwen2.5-14B,16,0.070000,100,100,1
