model_id,seq_len,accuracy,num_evaluated,num_requested,best_of_k
Qwen/Qwen3-0.6B,2,0.920000,100,100,1
Qwen/Qwen3-1.7B,2,1.000000,100,100,1
Qwen/Qwen3-4B,2,0.830000,100,100,1
Qwen/Qwen3-8B,2,1.000000,100,100,1
Qwen/Qwen3-14B,2,1.000000,100,100,1
Qwen/Qwen3-0.6B,3,0.460000,100,100,1
Qwen/Qwen3-1.7B,3,0.830000,100,100,1
Qwen/Qwen3-4B,3,0.960000,100,100,1
Qwen/Qwen3-8B,3,1.000000,100,100,1
Qwen/Qwen3-14B,3,0.990000,100,100,1
Qwen/Qwen3-0.6B,4,0.110000,100,100,1
Qwen/Qwen3-1.7B,4,0.470000,100,100,1
Qwen/Qwen3-4B,4,0.940000,100,100,1
Qwen/Qwen3-8B,4,0.970000,100,100,1
Qwen/Qwen3-14B,4,1.000000,100,100,1
Qwen/Qwen3-0.6B,5,0.030000,100,100,1
Qwen/Qwen3-1.7B,5,0.110000,100,100,1
Qwen/Qwen3-4B,5,0.810000,100,100,1
Qwen/Qwen3-8B,5,0.930000,100,100,1
Qwen/Qwen3-14B,5,0.950000,100,100,1
Qwen/Qwen3-0.6B,6,0.040000,100,100,1
Qwen/Qwen3-1.7B,6,0.030000,100,100,1
Qwen/Qwen3-4B,6,0.570000,100,100,1
Qwen/Qwen3-8B,6,0.590000,100,100,1
Qwen/Qwen3-14B,6,0.860000,100,100,1
Qwen/Qwen3-0.6B,7,0.000000,100,100,1
Qwen/Qwen3-1.7B,7,0.010000,100,100,1
Qwen/Qwen3-4B,7,0.240000,100,100,1
Qwen/Qwen3-8B,7,0.500000,100,100,1
Qwen/Qwen3-14B,7,0.790000,100,100,1
Qwen/Qwen3-0.6B,8,0.010000,100,100,1
Qwen/Qwen3-1.7B,8,0.010000,100,100,1
Qwen/Qwen3-4B,8,0.080000,100,100,1
Qwen/Qwen3-8B,8,0.280000,100,100,1
Qwen/Qwen3-14B,8,0.780000,100,100,1
Qwen/Qwen3-0.6B,9,0.000000,100,100,1
Qwen/Qwen3-1.7B,9,0.010000,100,100,1
Qwen/Qwen3-4B,9,0.030000,100,100,1
Qwen/Qwen3-8B,9,0.130000,100,100,1
Qwen/Qwen3-14B,9,0.570000,100,100,1
Qwen/Qwen3-0.6B,10,0.020000,100,100,1
Qwen/Qwen3-1.7B,10,0.010000,100,100,1
Qwen/Qwen3-4B,10,0.020000,100,100,1
Qwen/Qwen3-8B,10,0.020000,100,100,1
Qwen/Qwen3-14B,10,0.400000,100,100,1
Qwen/Qwen3-0.6B,11,0.000000,100,100,1
Qwen/Qwen3-1.7B,11,0.000000,100,100,1
Qwen/Qwen3-4B,11,0.030000,100,100,1
Qwen/Qwen3-8B,11,0.000000,100,100,1
Qwen/Qwen3-14B,11,0.250000,100,100,1
Qwen/Qwen3-0.6B,12,0.000000,100,100,1
Qwen/Qwen3-1.7B,12,0.000000,100,100,1
Qwen/Qwen3-4B,12,0.090000,100,100,1
Qwen/Qwen3-8B,12,0.010000,100,100,1
Qwen/Qwen3-14B,12,0.180000,100,100,1
Qwen/Qwen3-0.6B,13,0.000000,100,100,1
Qwen/Qwen3-1.7B,13,0.000000,100,100,1
Qwen/Qwen3-4B,13,0.040000,100,100,1
Qwen/Qwen3-8B,13,0.000000,100,100,1
Qwen/Qwen3-14B,13,0.070000,100,100,1
Qwen/Qwen3-0.6B,14,0.000000,100,100,1
Qwen/Qwen3-1.7B,14,0.000000,100,100,1
Qwen/Qwen3-4B,14,0.060000,100,100,1
Qwen/Qwen3-8B,14,0.020000,100,100,1
Qwen/Qwen3-14B,14,0.090000,100,100,1
Qwen/Qwen3-0.6B,15,0.000000,100,100,1
Qwen/Qwen3-1.7B,15,0.000000,100,100,1
Qwen/Qwen3-4B,15,0.030000,100,100,1
Qwen/Qwen3-8B,15,0.030000,100,100,1
Qwen/Qwen3-14B,15,0.010000,100,100,1
Qwen/Qwen3-0.6B,16,0.000000,100,100,1
Qwen/Qwen3-1.7B,16,0.000000,100,100,1
Qwen/Qwen3-4B,16,0.010000,100,100,1
Qwen/Qwen3-8B,16,0.020000,100,100,1
Qwen/Qwen3-14B,16,0.030000,100,100,1
