model_id,seq_len,accuracy,num_evaluated,num_requested,best_of_k
Qwen/Qwen3-0.6B,2,0.410000,100,100,1
Qwen/Qwen3-1.7B,2,0.290000,100,100,1
Qwen/Qwen3-4B,2,1.000000,100,100,1
Qwen/Qwen3-8B,2,1.000000,100,100,1
Qwen/Qwen3-14B,2,1.000000,100,100,1
Qwen/Qwen3-0.6B,3,1.000000,100,100,1
Qwen/Qwen3-1.7B,3,0.860000,100,100,1
Qwen/Qwen3-4B,3,1.000000,100,100,1
Qwen/Qwen3-8B,3,1.000000,100,100,1
Qwen/Qwen3-14B,3,1.000000,100,100,1
Qwen/Qwen3-0.6B,4,0.890000,100,100,1
Qwen/Qwen3-1.7B,4,1.000000,100,100,1
Qwen/Qwen3-4B,4,1.000000,100,100,1
Qwen/Qwen3-8B,4,1.000000,100,100,1
Qwen/Qwen3-14B,4,1.000000,100,100,1
Qwen/Qwen3-0.6B,5,1.000000,100,100,1
Qwen/Qwen3-1.7B,5,1.000000,100,100,1
Qwen/Qwen3-4B,5,1.000000,100,100,1
Qwen/Qwen3-8B,5,1.000000,100,100,1
Qwen/Qwen3-14B,5,1.000000,100,100,1
Qwen/Qwen3-0.6B,6,1.000000,100,100,1
Qwen/Qwen3-1.7B,6,1.000000,100,100,1
Qwen/Qwen3-4B,6,0.810000,100,100,1
Qwen/Qwen3-8B,6,1.000000,100,100,1
Qwen/Qwen3-14B,6,1.000000,100,100,1
Qwen/Qwen3-0.6B,7,1.000000,100,100,1
Qwen/Qwen3-1.7B,7,1.000000,100,100,1
Qwen/Qwen3-4B,7,0.870000,100,100,1
Qwen/Qwen3-8B,7,1.000000,100,100,1
Qwen/Qwen3-14B,7,1.000000,100,100,1
Qwen/Qwen3-0.6B,8,1.000000,100,100,1
Qwen/Qwen3-1.7B,8,1.000000,100,100,1
Qwen/Qwen3-4B,8,1.000000,100,100,1
Qwen/Qwen3-8B,8,1.000000,100,100,1
Qwen/Qwen3-14B,8,1.000000,100,100,1
Qwen/Qwen3-0.6B,9,0.880000,100,100,1
Qwen/Qwen3-1.7B,9,0.860000,100,100,1
Qwen/Qwen3-4B,9,1.000000,100,100,1
Qwen/Qwen3-8B,9,1.000000,100,100,1
Qwen/Qwen3-14B,9,1.000000,100,100,1
Qwen/Qwen3-0.6B,10,1.000000,100,100,1
Qwen/Qwen3-1.7B,10,1.000000,100,100,1
Qwen/Qwen3-4B,10,1.000000,100,100,1
Qwen/Qwen3-8B,10,1.000000,100,100,1
Qwen/Qwen3-14B,10,1.000000,100,100,1
Qwen/Qwen3-0.6B,11,1.000000,100,100,1
Qwen/Qwen3-1.7B,11,0.830000,100,100,1
Qwen/Qwen3-4B,11,1.000000,100,100,1
Qwen/Qwen3-8B,11,1.000000,100,100,1
Qwen/Qwen3-14B,11,1.000000,100,100,1
Qwen/Qwen3-0.6B,12,1.000000,100,100,1
Qwen/Qwen3-1.7B,12,1.000000,100,100,1
Qwen/Qwen3-4B,12,1.000000,100,100,1
Qwen/Qwen3-8B,12,1.000000,100,100,1
Qwen/Qwen3-14B,12,1.000000,100,100,1
Qwen/Qwen3-0.6B,13,0.710000,100,100,1
Qwen/Qwen3-1.7B,13,0.830000,100,100,1
Qwen/Qwen3-4B,13,0.900000,100,100,1
Qwen/Qwen3-8B,13,1.000000,100,100,1
Qwen/Qwen3-14B,13,1.000000,100,100,1
Qwen/Qwen3-0.6B,14,1.000000,100,100,1
Qwen/Qwen3-1.7B,14,1.000000,100,100,1
Qwen/Qwen3-4B,14,1.000000,100,100,1
Qwen/Qwen3-8B,14,1.000000,100,100,1
Qwen/Qwen3-14B,14,1.000000,100,100,1
Qwen/Qwen3-0.6B,15,1.000000,100,100,1
Qwen/Qwen3-1.7B,15,1.000000,100,100,1
Qwen/Qwen3-4B,15,0.900000,100,100,1
Qwen/Qwen3-8B,15,1.000000,100,100,1
Qwen/Qwen3-14B,15,1.000000,100,100,1
Qwen/Qwen3-0.6B,16,0.900000,100,100,1
Qwen/Qwen3-1.7B,16,1.000000,100,100,1
Qwen/Qwen3-4B,16,1.000000,100,100,1
Qwen/Qwen3-8B,16,1.000000,100,100,1
Qwen/Qwen3-14B,16,1.000000,100,100,1
